full_name,description,stars,forks,language,url,updated_year,last_updated,created_year,created_at,watchers_count,size,license,languages,primary_language,topics,readme_snippet,Manual_Category,Comment,Unnamed: 20,manual_normalized,DeepSeek_Category,DeepSeek_Correct,DeepSeek_Wrong
RoshanM24/Langgraph-with-Astra-DB---Multi-Source-Rag-Agent,"This project demonstrates the integration of LangGraph, LangChain, and Astra DB to build a hybrid retrieval system. It indexes online documents, stores them in a Cassandra-based vector database, and uses an LLM-powered router to decide whether a query should be answered from the vector store or fetched from Wikipedia/Arxiv.",1,0,Python,https://github.com/RoshanM24/Langgraph-with-Astra-DB---Multi-Source-Rag-Agent,2025,2025-08-13T00:07:51+00:00,2025,2025-08-12T23:24:58+00:00,1,12,,{'Python': 7957},Python,[],"LangGraph with Astra DB — Intelligent Query Routing & Vector Search
Overview
This project demonstrates the integration of LangGraph, LangChain, and Astra DB to build a hybrid retrieval system. It indexes online documents, stores them in a Cassandra-based vector database, and uses an LLM-powered router to decide whether a query should be answered from the vector store or fetched from Wikipedia/Arxiv.",LLM-Based agentic system,,,llm-based agentic system,other,False,True
bhevin/Search-Engine-With-LLm-and-Agents,,0,0,Python,https://github.com/bhevin/Search-Engine-With-LLm-and-Agents,2024,2024-08-13T00:10:07+00:00,2024,2024-08-12T10:25:54+00:00,0,34,GNU General Public License v3.0,{'Python': 2220},Python,[],Search-Engine-With-LLm-and-Agents,LLM-Based agentic system,,,llm-based agentic system,other,False,True
orcunyildiz/the-lit-digest,"An LLM-powered agent that generates personalized monthly literature digests. It fetches, ranks by semantic similarity to your past work, and summarizes recent academic papers from Semantic Scholar into a clean HTML report.",0,0,Python,https://github.com/orcunyildiz/the-lit-digest,2025,2025-10-13T17:27:41+00:00,2025,2025-10-13T16:18:08+00:00,0,17,MIT License,{'Python': 26053},Python,[],"📚 Monthly Literature Recommender Agent This Python script acts as a personalized literature recommender, designed to keep researchers updated with new and relevant papers from Semantic Scholar based on their past work. It leverages semantic embeddings and large language models (LLMs) to identify, rank, and summarize papers, delivering a concise HTML digest.",LLM-powered recommendation pipeline,,,other,llm-based agentic system,False,True
Migue8gl/RAG-Agent,"A lightweight and modular Retrieval-Augmented Generation (RAG) agent built with LangGraph and OpenAI. It supports document indexing with FAISS, and structured tool use. Ideal for prototyping question-answering systems over custom documents. ",2,0,Python,https://github.com/Migue8gl/RAG-Agent,2025,2025-05-04T11:39:37+00:00,2025,2025-05-04T11:30:09+00:00,2,3831,MIT License,{'Python': 32329},Python,"['agent', 'chunker', 'faiss', 'ia', 'langgraph', 'llm', 'openai', 'python', 'rag', 'retriever', 'strategy', 'streamlit']","RAG-Agent 🚀 RAG-Agent is a modular and efficient framework designed to build Retrieval-Augmented Generation (RAG) systems. It combines components like chunkers, retrievers, and vector databases to create a seamless workflow for intelligent agents.",RAG application framework,,,other,llm-based agentic system,False,True
harshnegi1434/multi-pdf-chat-ai-agent,AI-powered app to chat with and search across multiple PDFs using advanced embeddings and vector search.,0,0,Python,https://github.com/harshnegi1434/multi-pdf-chat-ai-agent,2025,2025-07-24T12:16:29+00:00,2025,2025-07-20T17:24:27+00:00,0,161,,"{'Python': 43371, 'TypeScript': 40649, 'JavaScript': 924, 'HTML': 765, 'Dockerfile': 350}",Python,"['aws-cloudfront', 'aws-lambda', 'fastapi', 'llm', 'rag-chatbot', 'react-vite-typescript']","InsightPDF: Multi-PDF Chat AI Agent InsightPDF is a full-stack application that lets you upload multiple PDF documents and chat with them using advanced AI. It leverages Google Gemini for embeddings, FAISS for vector search, and S3 for scalable, serverless storage.",LLM agent not llm based agentic systen,,,other,llm-based agentic system,False,True
paulgresens/simple-llm-agent,llm agent for zih hpc,0,0,Python,https://github.com/paulgresens/simple-llm-agent,2025,2025-12-12T12:35:40+00:00,2025,2025-12-01T13:40:25+00:00,0,25,,{'Python': 38207},Python,[],"python
pip install -r requirements.txt",Other,,,other,llm-based agentic system,False,True
yhzhu99/HealthFlow,HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research,31,2,Python,https://github.com/yhzhu99/HealthFlow,2025,2025-11-26T21:28:59+00:00,2025,2025-05-28T21:12:24+00:00,31,1151,,"{'Python': 238133, 'Shell': 5274}",Python,"['ehr', 'llm', 'llm-agent', 'ai-for-healthcare', 'ai-for-science', 'multi-agent']","HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research HealthFlow is a research framework designed to orchestrate, evaluate, and learn from powerful, external agentic coders to solve complex healthcare research tasks. Its core innovation lies not in building a coding agent itself, but in creating aself-evolving meta-systemthat learns to become a better strategic planner.",LLM-Based agentic system,,,llm-based agentic system,other,False,True
VivreSaVie08/Voice-Agent-Model,"A lightweight two-way voice agent that integrates streaming Speech-to-Text, Text-to-Speech, and LLM inference to enable real-time conversational interaction. The agent uses Deepgram for audio processing and Groq/Gemini for fast LLM responses, with streaming pipelines for low-latency STT and TTS.",0,0,Python,https://github.com/VivreSaVie08/Voice-Agent-Model,2025,2025-02-08T08:56:49+00:00,2025,2025-02-08T08:47:03+00:00,0,18,,{'Python': 14969},Python,[],"Voice Agent Model This contains the code for an agent that uses Text-To-Speech, Speech-To-Text, and a language model to have a two-way conversation with a user.",Realtime voice conversational interface around an LLM,,,other,llm-based agentic system,False,True
Adars2005/AgenticReasoner_IITGuwahati_Ethos2025,"🧠 Project Description  This project builds an Agentic Reasoning System that can autonomously break down complex logic problems into smaller subtasks, select the right tools, and verify each step for accuracy. It goes beyond traditional LLM inference by performing multi-step, transparent reasoning with human-readable traces. The system combines sym",0,0,Python,https://github.com/Adars2005/AgenticReasoner_IITGuwahati_Ethos2025,2025,2025-10-08T17:56:30+00:00,2025,2025-10-08T17:05:46+00:00,0,38624,,"{'Python': 40262658, 'C': 406740, 'Cython': 118953, 'C++': 85980, 'Fortran': 39766, 'PowerShell': 25697, 'Smarty': 8486, 'Meson': 4589, 'Batchfile': 1351}",Python,"['agent-based-modeling', 'agentic-ai', 'ai-research-and-development', 'autonomous-agents', 'multi-step-reasoning']","🧠 Agentic Reasoning System This project implements anAgentic AI Reasoning Systemdesigned for structured, multi-step reasoning tasks such as logic-based question answering.It autonomously decomposes problems, selects appropriate tools, executes subtasks, and generates transparent reasoning traces.",Rule-Based Batch Processing System,,,other,llm-based agentic system,False,True
gbid/llm-voice-agent-retellai,,0,0,Python,https://github.com/gbid/llm-voice-agent-retellai,2025,2025-08-22T13:24:58+00:00,2025,2025-08-22T13:24:15+00:00,0,41,,"{'Python': 36328, 'HTML': 8637}",Python,[],"Delivery Rescheduling Voice AI A personal exploration project experimenting with:
1.LLM Voice Agentsusing RetellAI for function calling
2.Python/FastAPIdevelopment (coming from a Rust/Axum background)","Other, I checked the code",,,other,llm-based agentic system,False,True
